"Timestamp","Age","Gender","Education Level","Monthly income","The name of your current mobile service provider (eg. China Mobile HK)","Why choose your present mobile service provider?","How long have you been using your current mobile service provider?","Have you changed your mobile service provider before?","The network service quality of my former provider is not good enough.","The difference between the services I received from my former mobile service provider and my expectation is big and I am disappointed.","The technology innovation of my former mobile service provider has not improved much compared with other mobile service provider.","The customer care of my former mobile service provider is not good enough.","The price of my former mobile service provider is not reasonable.","The loyalty benefit does not change if I use the service longer. ( eg. The monthly price does not change even if I use the service longer. )","The value-added services of my former mobile service provider is not good enough.","My family or my friends are using my current service provider and I am influenced by them.","The promotion of my current service provider attracted me and gave me motivation to switch.","What is the main reason for your switching?","The quality of network of my current mobile service provider is great.","The difference between the service I received from my current mobile service provider and my expectation is not big or the service I received from my current mobile service provider is even better than my expectation.","The customer care of my current mobile service provider is good enough.","My mobile service provider has improved its technology enough compared with other mobile service providers.","The switching cost is high. （Including non-money cost, eg. I didn't switch my mobile service provider because I don't want to spend my time to do so.)","The loyalty benefit becomes higher if I use the service longer. ( eg. The monthly price will decrease if I use longer.)","The price is reasonable.","The value-added services of my current mobile service provider is good enough.","What is the main reason that you are still using the current provider?","What's the likelihood that you will switch by the end of the current contract? ","Why will you switch to another mobile service provider in the future? (Please select the top three reason.)"
"2020/05/06 4:35:28 PM GMT+8","24","Male","Ph.D.","20,001 to 40,000","China Mobile Hong Kong","Family or friends' impact","over 5 years","No","","","","","","","","","","","4","3","3","4","3","3","3","3","Price","Somewhat likely","Price;Network quality;Customer care"
"2020/05/06 4:36:26 PM GMT+8","22","Female","Graduate","10,001 to 20,000","CSL","Corporate image;College promotion","2-5 years","No","","","","","","","","","","","4","4","4","3","5","3","3","2","Switching cost","Likely","Price;Network quality"
"2020/05/06 4:37:41 PM GMT+8","24","Female","Post Graduate","20,001 to 40,000","China Mobile Hong Kong","Family or friends' impact","2-5 years","No","","","","","","","","","","","4","3","4","2","5","3","3","2","Lazy","Somewhat likely","Price;Network quality"
"2020/05/06 4:39:13 PM GMT+8","21","Male","Graduate","Less than 10,000","3 Hong Kong","Corporate image;Family or friends' impact","2-5 years","No","","","","","","","","","","","3","3","3","2","4","3","4","2","Switching cost","Likely","Price;Promotion;Network quality"
"2020/05/06 4:41:17 PM GMT+8","27","Male","Post Graduate","20,001 to 40,000","CSL","The value-added services it provides compared with other providers","2-5 years","Yes","4","4","3","3","3","3","4","3","5","network quality","4","3","3","4","3","4","4","3","Price","Somewhat likely","Network quality;Value-added services"
"2020/05/06 4:42:39 PM GMT+8","28","Male","Post Graduate","20,001 to 40,000","China Mobile Hong Kong","Corporate image;College promotion;Family or friends' impact","over 5 years","No","","","","","","","","","","","3","3","4","4","5","2","3","2","no time to change","Somewhat likely","Network quality;Customer care;Value-added services"
"2020/05/06 4:44:29 PM GMT+8","27","Male","Post Graduate","20,001 to 40,000","CSL","Corporate image;Family or friends' impact","2-5 years","Yes","4","3","3","3","3","4","4","3","4","network quality","4","3","3","2","3","4","3","3","satisfied","Not at all",""
"2020/05/06 4:47:35 PM GMT+8","26","Female","Post Graduate","20,001 to 40,000","SmarTone","Family or friends' impact","2-5 years","No","","","","","","","","","","","3","2","4","4","4","3","4","3","no special reason","Somewhat likely","Price;Network quality;Value-added services"
"2020/05/06 4:48:30 PM GMT+8","26","Male","Post Graduate","40,001 to 60,000","China Mobile Hong Kong","Corporate image;The value-added services it provides compared with other providers","2-5 years","No","","","","","","","","","","","4","3","3","2","4","2","4","3","network ","Somewhat likely","Price;Network quality"
"2020/05/06 4:51:43 PM GMT+8","25","Female","Graduate","Less than 10,000","3 Hong Kong","Family or friends' impact","1-2 years","Yes","4","3","2","3","4","3","3","3","4","price","4","3","3","2","4","3","3","3","no time","Somewhat likely","Price;Network quality"
"2020/05/06 4:53:30 PM GMT+8","23","Female","Post Graduate","10,001 to 20,000","China Mobile Hong Kong","College promotion","over 5 years","No","","","","","","","","","","","4","3","3","3","3","3","3","3","no time","Somewhat likely","Price;Promotion;Network quality"
"2020/05/06 4:54:14 PM GMT+8","23","Male","Post Graduate","20,001 to 40,000","3 Hong Kong","Corporate image;Family or friends' impact","2-5 years","No","","","","","","","","","","","3","3","3","3","3","2","3","3","Lazy","Somewhat likely","Price;Promotion;Network quality"
"2020/05/06 4:55:30 PM GMT+8","23","Male","Graduate","20,001 to 40,000","China Mobile Hong Kong","Family or friends' impact;The value-added services it provides compared with other providers","1-2 years","Yes","4","4","2","3","4","3","3","4","4","promotion","4","3","3","3","5","3","4","3","price","Somewhat likely","Price;Network quality;Value-added services"
"2020/05/06 4:56:56 PM GMT+8","24","Male","Post Graduate","20,001 to 40,000","CSL","Corporate image;Family or friends' impact","1-2 years","Yes","3","4","3","3","4","3","3","4","4","friends","4","4","3","3","4","3","4","3","generally satisfied","Not at all",""
"2020/05/06 4:57:56 PM GMT+8","24","Male","Post Graduate","20,001 to 40,000","CSL","Corporate image;The value-added services it provides compared with other providers","2-5 years","No","","","","","","","","","","","4","3","4","3","4","3","3","3","no reason to change","Somewhat likely","Price;Technology;Value-added services"
"2020/05/06 4:58:58 PM GMT+8","24","Male","Graduate","20,001 to 40,000","CSL","Corporate image;The value-added services it provides compared with other providers","2-5 years","No","","","","","","","","","","","3","4","3","2","3","3","4","3","no reason","Somewhat likely","Price;Network quality;Technology"
"2020/05/06 5:00:21 PM GMT+8","25","Male","Post Graduate","20,001 to 40,000","SmarTone","Corporate image;The value-added services it provides compared with other providers","1-2 years","Yes","4","4","3","3","4","3","3","4","3","family","4","3","3","3","4","3","4","3","no reason to change","Not at all",""
"2020/05/06 5:01:07 PM GMT+8","26","Female","Post Graduate","20,001 to 40,000","CSL","Corporate image;Family or friends' impact;The value-added services it provides compared with other providers","2-5 years","No","","","","","","","","","","","4","3","3","3","4","3","3","3","net work qualitu","Somewhat likely","Price;Network quality;Technology"
"2020/05/06 5:02:31 PM GMT+8","26","Female","Post Graduate","20,001 to 40,000","CSL","Corporate image;The value-added services it provides compared with other providers","2-5 years","Yes","4","3","3","3","4","4","2","4","4","promotion","4","2","3","3","4","3","3","3","no reason","Somewhat likely","Price;Network quality;Technology;Value-added services"
"2020/05/07 8:06:53 AM GMT+8","22","Male","Graduate","10,001 to 20,000","China Mobile Hong Kong","Corporate image","2-5 years","No","","","","","","","","","","","1","3","4","3","3","2","1","2","懒得换。","Very likely","Network quality"
